Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
vivo T3 Pro,"[{'128GB 8GB RAM': '₹\u200921,989'}, {'256GB 8GB RAM': '₹\u200923,790'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 38, 40, 41","HSPA, LTE, 5G",163.7 x 75 x 7.5 or 8.0 mm,184 g or 190 g (6.49 oz),,Nano-SIM + Nano-SIM,"6.77 inches, 110.9 cm",1080 x 2392 pixels (~388 ppi density),"Android 14, up to 2 major Android upgrades, Funtouch 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 120˚ (ultrawide)","LED flash, panorama, HDR","4K@30/60fps, 1080p, gyro-EIS, OIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE",No,No,"USB Type-C 2.0, OTG",Li-Ion 5500 mAh,"80W wired, 50% in 21 min","Sandstone Orange, Emerald Green",
vivo Y37,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 14, OriginOS 4",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","13 MP, f/2.2, 25mm (wide), 1.12µm, AF,
Auxiliary lens (flicker sensor)","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE, aptX HD",No,FM radio,"USB Type-C 2.0, OTG",5000 mAh,15W wired,"Black, Purple, Ocean Blue",About 150 EUR
vivo Y37 Pro,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),199 g (7.02 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.68 inches, 107.4 cm","720 x 1608 pixels, 20:9 ratio (~264 ppi density)","Android 14, OriginOS 4",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 613,No,256GB 8GB RAM,"50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","4.2, A2DP, LE, aptX Adaptive",No,No,"USB Type-C 2.0, OTG",6000 mAh,"44W wired, 50% in 36 min","Dark Gray, Green, Apricot",About 230 EUR
vivo Y300 Pro,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 38, 39, 40, 41","HSPA, LTE, 5G",163.4 x 76.4 x 7.7 mm (6.43 x 3.01 x 0.30 in),194 g (6.84 oz),,Nano-SIM + Nano-SIM,"6.77 inches, 110.9 cm",1080 x 2392 pixels (~388 ppi density),"Android 14, OriginOS 4",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, (wide)",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD, aptX Adaptive",No,No,"USB Type-C 2.0, OTG",6500 mAh,80W wired,"Black, Ocean Blue, Titanium, White",About 230 EUR
vivo T3 Ultra,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 38, 39, 40, 41","HSPA, LTE, 5G",164.2 x 74.9 x 7.6 mm (6.46 x 2.95 x 0.30 in),192 g (6.77 oz),"Glass front, glass back",Nano-SIM + Nano-SIM,"6.78 inches, 111.0 cm","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Android 14, Funtouch 14",Mediatek Dimensity 9200+ (4 nm),Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510),Immortalis-G715 MC11,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm","Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30fps, gyro-EIS, OIS","50 MP, f/2.0, 21mm (wide), 1/2.76"", 0.64µm, AF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE",No,No,"USB Type-C 2.0, OTG",Li-Ion 5500 mAh,"80W wired, PD, 100% in 56 min","Lunar Gray, Frost Green",About 350 EUR
vivo iQOO Z9 Turbo+,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",163.7 x 75.9 x 8 mm (6.44 x 2.99 x 0.31 in),196 g (6.91 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.78 inches, 111.0 cm","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Android 14, OriginOS 4",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Unspecified,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, (ultrawide)","LED flash, panorama, HDR","4K@30/60fps, 1080p, gyro-EIS, OIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Yes,No,"USB Type-C 2.0, OTG",Si/C Li-Ion 6400 mAh,80W wired,"Black, White, Titanium",About 280 EUR
vivo V40e,"[{'128GB 8GB RAM': '₹\u200926,999'}, {'256GB 8GB RAM': '₹\u200924,720'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 38, 40, 41","HSPA, LTE, 5G",163.7 x 75 x 7.5 mm (6.44 x 2.95 x 0.30 in),183 g (6.46 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.77 inches, 110.9 cm",1080 x 2392 pixels (~388 ppi density),"Android 14, Funtouch 14",Mediatek Dimensity 7300 (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/2.0, (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 116˚ (ultrawide)","Ring-LED flash, panorama, HDR","4K, 1080p, HDR, gyro-EIS, OIS","50 MP, f/2.0, (wide), 1/2.76"", 0.64µm, AF",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE",No,No,"USB Type-C 2.0, OTG",Li-Ion 5500 mAh,80W wired,"Royal Bronze, Mint Green",
vivo iQOO Neo9 Pro (China),,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 19, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",163.5 x 75.7 x 8 mm or 8.3 mm,190 g or 196 g (6.70 oz),,Nano-SIM + Nano-SIM,"6.78 inches, 111.0 cm","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Android 14, OriginOS 4",Mediatek Dimensity 9300 (4 nm),Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.9, (wide), 1/1.49"", PDAF, OIS,
50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","LED flash, panorama, HDR","8K, 4K, 1080p, gyro-EIS","16 MP, f/2.5, (wide)",1080p@30fps,"Yes, with stereo speakers (closed type)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive",Yes,No,"USB Type-C 2.0, OTG",5160 mAh,"120W wired, 40% in 9 min","Black, Blue, Red",About 380 EUR
vivo V30 Lite,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",162.4 x 74.9 x 7.7 mm (6.39 x 2.95 x 0.30 in),190 g (6.70 oz),"Glass front, plastic frame, glass back",Nano-SIM,"6.67 inches, 107.4 cm","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 13, Funtouch 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Adreno 619,No,"256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, (wide), PDAF, OIS,
8 MP, f/2.2, (ultrawide),
2 MP, f/2.4, (depth)","Ring-LED flash, panorama, HDR",1080p@30fps,"50 MP, f/2.0, 22mm (wide), AF",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",Li-Ion 4800 mAh,44W wired,"Forest Black, Rose Gold",About 480 EUR
vivo G2,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",163.7 x 75.4 x 8.1 mm (6.44 x 2.97 x 0.32 in),186 g (6.56 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 13, OriginOS 3",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","13 MP, f/2.2, (wide), PDAF,
Anti-stroboscopic sensor","LED flash, panorama",1080p@30fps,"5 MP, f/1.8, (wide)",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD",No,FM radio,"USB Type-C 2.0, OTG",5000 mAh,15W wired,Black,About 160 EUR
