Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Nokia Lumia 635,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 - RM-974,"3, 7, 20 - RM-974","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","129.5 x 66.7 x 9.2 mm, 78.5 cc (5.10 x 2.63 x 0.36 in)",134 g (4.73 oz),,Micro-SIM,"4.5 inches, 54.3 cm","480 x 854 pixels, 16:9 ratio (~221 ppi density)",Microsoft Windows Phone 8.1,Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 512MB 8GB 1GB RAM,"5 MP, 1/4.0"", AF",Panorama,720p@30fps,No,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, LE/ aptX after WP8 Denim update",No,FM radio,microUSB 2.0,"Li-Ion 1830 mAh, removable (BL-5H)",,"Bright Orange, bright green, bright yellow, white, black",About 110 EUR
Nokia Lumia 930,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","137 x 71 x 9.8 mm, 94.7 cc (5.39 x 2.80 x 0.39 in)",167 g (5.89 oz),,Nano-SIM,"5.0 inches, 68.9 cm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Microsoft Windows Phone 8.1, upgradable to Windows 10",Qualcomm MSM8974 Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,Adreno 330,No,32GB 2GB RAM,"20 MP, f/2.4, 26mm (wide), 1/2.5"", AF, OIS","Zeiss optics, dual-LED flash, panorama, HDR","4K@30fps (after WP8 Denim update), 1080p@30fps, stereo sound rec.",1.2 MP,720p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, hotspot","4.0, A2DP, EDR, LE/ aptX after WP8 Denim update",Yes,FM radio,microUSB 2.0,"Li-Ion 2420 mAh, non-removable (BV-5QW)",Wireless (Qi) (market dependent),"Bright orange, bright green, white, black, gold",About 370 EUR
Nokia 225 Dual SIM,,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,124 x 55.5 x 10.4 mm (4.88 x 2.19 x 0.41 in),100.6 g (3.56 oz),,"Dual SIM (Mini-SIM, dual stand-by)","2.8 inches, 24.3 cm","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,,,microSDHC (dedicated slot),,"2 MP, 1/5.0""",,320p@15fps,No,,Yes,Yes,WLANNo,3.0,No,Stereo FM radio,microUSB 2.0,"Li-Ion 1200 mAh, removable (BL-4UL)",,"Red, yellow, green, black, white",About 50 EUR
Nokia 225,,GSM,GSM 900 / 1800 ,,,,124 x 55.5 x 10.4 mm (4.88 x 2.19 x 0.41 in),99.8 g (3.53 oz),,Mini-SIM,"2.8 inches, 24.3 cm","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,,,microSDHC (dedicated slot),,"2 MP, 1/5.0""",,320p@15fps,No,,Yes,Yes,WLANNo,3.0,No,Stereo FM radio,microUSB 2.0,"Li-Ion 1200 mAh, removable (BL-4UL)",,"Red, yellow, green, black, white",About 50 EUR
Nokia X2 Dual SIM,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,"121.7 x 68.3 x 11.1 mm, 87.4 cc (4.79 x 2.69 x 0.44 in)",150 g (5.29 oz),,"Dual SIM (Micro-SIM, dual stand-by)","4.3 inches, 52.6 cm","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 4.3 (Jelly Bean), X platform 2",Qualcomm Snapdragon 200 (28 nm),Dual-core 1.2 GHz Cortex-A7,Adreno 302,microSDHC (dedicated slot),4GB 1GB RAM,"5 MP, 1/4.0"", AF",LED flash,720p@30fps,VGA,480p,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",No,"Stereo FM radio, RDS",microUSB 2.0,"Li-Ion 1800 mAh, removable (BV-5S)",,"Glossy green, orange black, yellow, white, matt dark grey",About 90 EUR
Nokia Lumia 530,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,"119.7 x 62.3 x 11.7 mm, 86.8 cc (4.71 x 2.45 x 0.46 in)",129 g (4.55 oz),,Micro-SIM,"4.0 inches, 44.1 cm","480 x 854 pixels, 16:9 ratio (~245 ppi density)",Microsoft Windows Phone 8.1,Qualcomm Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDXC (dedicated slot),4GB 512MB RAM,"5 MP, 1/4.0""",,480p@30fps,No,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE/ aptX after WP8 Denim update",No,FM Radio,microUSB 2.0,"Li-Ion 1430 mAh, removable (BL-5J)",,"Bright orange, Bright green, White, Dark grey",About 100 EUR
Nokia Lumia 530 Dual SIM,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,"119.7 x 62.3 x 11.7 mm, 86.8 cc (4.71 x 2.45 x 0.46 in)",129 g (4.55 oz),,"Dual SIM (Micro-SIM, dual stand-by)","4.0 inches, 44.1 cm","480 x 854 pixels, 16:9 ratio (~245 ppi density)",Microsoft Windows Phone 8.1,Qualcomm Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 302,microSDXC (dedicated slot),4GB 512MB RAM,"5 MP, 1/4.0""",,480p@30fps,No,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE/ aptX after WP8 Denim update",No,FM Radio,microUSB 2.0,"Li-Ion 1430 mAh, removable (BL-5J)",,"Bright orange, Bright green, White, Dark grey",About 100 EUR
Nokia 130,,GSM,GSM 900 / 1800 ,,,,106 x 45.5 x 13.9 mm (4.17 x 1.79 x 0.55 in),68.6 g (2.40 oz),,Mini-SIM,"1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,,,,microSDHC (dedicated slot),4MB RAM,No,,,,,Yes,Yes,WLANNo,3.0,No,FM radio,microUSB 2.0,"Li-Ion 1020 mAh, removable (BL-5C)",,"Red, black, white",About 20 EUR
Nokia 130 Dual SIM,,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,106 x 45.5 x 13.9 mm (4.17 x 1.79 x 0.55 in),67.9 g (2.40 oz),,"Dual SIM (Mini-SIM, dual stand-by)","1.8 inches, 10.2 cm",128 x 160 pixels (~114 ppi density),,,,,microSDHC (dedicated slot),4MB RAM,No,,,,,Yes,Yes,WLANNo,3.0,No,FM radio,microUSB 2.0,"Li-Ion 1020 mAh, removable (BL-5C)",,"Red, black, white",About 20 EUR
Nokia Lumia 830,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",139.4 x 70.7 x 8.5 mm (5.49 x 2.78 x 0.33 in),150 g (5.29 oz),,Nano-SIM,"5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Microsoft Windows Phone 8.1, upgradable to Microsoft Windows 10",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),16GB 1GB RAM,"10 MP, f/2.2, 26mm (wide), 1/3.4"", AF, OIS","Zeiss optics, LED flash, panorama","1080p@30fps, stereo sound rec.",0.9 MP,720p,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, EDR, LE, aptX",Yes,FM radio,microUSB 2.0,"Li-Ion 2200 mAh, removable (BV-L4A)",Wireless (Qi),"Orange, green, white, black, gold",About 330 EUR
