Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Lenovo Yoga Tab 3 Plus,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 - EMEA,"1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41 - EMEA","HSPA, LTE",247 x 179 mm,637 g (Wi-Fi)/ 644 g (3G/LTE) (1.40 lb),,Micro-SIM,"10.1 inches, 295.8 cm","1600 x 2560 pixels, 16:10 ratio (~299 ppi density)","Android 6.0.1 (Marshmallow), upgradable to 7.1.1 (Nougat)",Qualcomm MSM8953 Snapdragon 625 (14 nm) - 3G/LTE model,Octa-core 2.0 GHz Cortex-A53 - 3G/LTE model,Adreno 506 - 3G/LTE model,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, AF","HDR, panorama",1080p@30fps,5 MP,,"Yes, with stereo speakers (4 speakers)",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.0, A2DP",No,No,USB Type-C 2.0,"Li-Ion 9300 mAh, non-removable",18W wired,Black,About 300 EUR
Lenovo Yoga Tab 3 10,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - EMEA,"1, 3, 4, 5, 7, 8, 19, 20, 38, 40 - EMEA","HSPA, LTE",253 x 185 x 9.5 mm (9.96 x 7.28 x 0.37 in),655 g (Wi-Fi)/ 665 g (3G/LTE) (1.40 lb),,Micro-SIM,"10.1 inches, 295.8 cm","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE model,Quad-core 1.3 GHz Cortex-A7,Adreno 304,microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",,720p@30fps,Rotating main camera module,720p@30fps,"Yes, with stereo speakers",Yes,WLANWi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0,"Li-Ion 8400 mAh, non-removable",,Black,About 180 EUR
Lenovo K6,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",141.9 x 70.3 x 8.2 mm (5.59 x 2.77 x 0.32 in),140 g (4.94 oz),,Nano-SIM,"5.0 inches, 68.9 cm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 2GB RAM","13 MP, AF","LED flash, HDR, panorama",1080p@30fps,8 MP,1080p@30fps,"Yes, with stereo speakers",Yes,WLANWi-Fi 802.11 b/g/n,"4.1, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Ion 3000 mAh, non-removable",,"Silver, Gold, Dark Grey",About 200 EUR
Lenovo K6 Power,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",141.9 x 70.3 x 9.3 mm (5.59 x 2.77 x 0.37 in),145 g (5.11 oz),"Glass front, aluminum back, aluminum frame",Nano-SIM,"5.0 inches, 68.9 cm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, PDAF","LED flash, HDR, panorama",1080p@30fps,8 MP,1080p@30fps,"Yes, with stereo speakers",Yes,WLANWi-Fi 802.11 b/g/n,"4.2, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Po 4000 mAh, non-removable",,"Silver, Gold, Dark Grey",About 170 EUR
Lenovo K6 Note,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",151 x 76 x 8.4 mm (5.94 x 2.99 x 0.33 in),169 g (5.96 oz),"Glass front, aluminum/plastic back, aluminum frame",Nano-SIM,"5.5 inches, 83.4 cm","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 32GB 4GB RAM","16 MP, PDAF","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,8 MP,1080p@30fps,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.2, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Po 4000 mAh, non-removable",,"Silver, Gold, Dark Grey",About 250 EUR
Lenovo P2,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",153 x 76 x 8.3 mm (6.02 x 2.99 x 0.33 in),177 g (6.24 oz),"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",Nano-SIM,"5.5 inches, 83.4 cm","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM","13 MP, f/2.0, 21mm (ultrawide), 1/3.1"", 1.12µm, PDAF","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","5 MP, f/2.2",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","4.1, A2DP, LE",Yes,FM radio; recording,"microUSB 2.0, OTG","Li-Ion 5100 mAh, non-removable",18W wired,"Champagne gold, Graphite gray",About 240 EUR
Lenovo A Plus,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 ,,HSPA 21.1/5.76 Mbps,133 x 66 x 9.9 mm (5.24 x 2.60 x 0.39 in),146 g (5.15 oz),,"Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 55.8 cm","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",LED flash,Yes,2 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","2.1, A2DP",No,FM radio,microUSB 2.0,"Li-Po 2000 mAh, removable",,"Onyx Black, Pearl White",About 70 EUR
Lenovo B,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",132.5 x 66 x 9.9 mm (5.22 x 2.60 x 0.39 in),144 g (5.08 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 57.6 cm","480 x 800 pixels, 5:3 ratio (~207 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC,8GB 1GB RAM,5 MP,LED flash,Yes,2 MP,,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.0, A2DP",No,FM radio,microUSB 2.0,"Li-Ion 2000 mAh, removable",,"Black, White, Gold",About 80 EUR
Lenovo A6600,,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5 - India","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",141 x 71 x 8.8 mm (5.55 x 2.80 x 0.35 in),142 g (5.01 oz),,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",LED flash,Yes,2 MP,,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.0, A2DP",No,FM radio,microUSB 2.0,"Li-Po 2300 mAh, removable",,"Black, White",About 110 EUR
Lenovo A6600 Plus,,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5 - India","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",141 x 71 x 8.8 mm (5.55 x 2.80 x 0.35 in),142 g (5.01 oz),"Glass front, plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC (dedicated slot),16GB 2GB RAM,"8 MP, AF",LED flash,720p@30fps,2 MP,,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.0, A2DP",No,FM radio,microUSB 2.0,"Li-Po 2300 mAh, removable",,"Black, White",About 130 EUR
