Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
LG Bello II,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100 - D335,,HSPA 21.1/5.76 Mbps,140.8 x 71.6 x 9.6 mm (5.54 x 2.82 x 0.38 in),155 g (5.47 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm","480 x 854 pixels, 16:9 ratio (~196 ppi density)","Android 5.1.1 (Lollipop), LG UI 4",,Quad-core 1.3 GHz Cortex-A7,,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF","LED flash, panorama",1080p@30fps,5 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP",No,"FM radio, RDS",microUSB 2.0,"Li-Ion 2540 mAh, removable",,"White, Titan, Gold",About 130 EUR
LG Tribute 2,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA,"2, 4, 5, 12, 25, 26, 41","HSPA, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps",129.9 x 64.9 x 10.9 mm (5.11 x 2.56 x 0.43 in),138.9 g (4.94 oz),,Micro-SIM,"4.5 inches, 55.8 cm","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDHC (dedicated slot),8GB 1GB RAM,5 MP,LED flash,1080p@30fps,VGA,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE",No,No,microUSB 2.0,"Li-Ion 1900 mAh, removable",,BLue,About 90 EUR
LG Wine Smart,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA, LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",117.7 x 58.7 x 16.6 mm (4.63 x 2.31 x 0.65 in),143 g (5.04 oz),,Micro-SIM,"3.2 inches, 30.5 cm","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Android 5.1.1 (Lollipop),,Quad-core 1.1 GHz,,microSDXC (dedicated slot),4GB 1GB RAM,3.15 MP,,Yes,VGA,,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.1, A2DP",No,FM radio,microUSB 2.0,"Li-Ion 1700 mAh, removable",,"Navy, Burgundy",About 150 EUR
LG G Pad II 8.0 LTE,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA, LTE,"HSPA, LTE",210.8 x 124.2 x 9 mm (8.30 x 4.89 x 0.35 in),347 g (12.24 oz),,Micro-SIM,"8.0 inches, 185.6 cm","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 5.0.2 (Lollipop),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),32GB 1.5GB RAM,"5 MP, AF",Panorama,1080p@30fps,2 MP,,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, hotspot, Wi-Fi Direct, DLNA","4.0, LE",No,No,USB 2.0,"Li-Ion 4200 mAh, non-removable",,"Black, White",About 300 EUR
LG G Pad II 10.1,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",254.3 x 161.1 x 7.8 mm (10.01 x 6.34 x 0.31 in),489 g (1.08 lb),,Micro-SIM,"10.1 inches, 295.8 cm","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 5.1.1 (Lollipop),Qualcomm Snapdragon 800 (28 nm),Quad-core 2.26 GHz Krait 400,Adreno 330,microSDXC (dedicated slot),16GB 2GB RAM,"5 MP, AF",,Yes,2 MP,,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP",To be confirmed,No,microUSB 2.0,"Li-Ion 7400 mAh, non-removable",,Brilliant Bronze,About 250 EUR
LG Zero,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20 - H650E","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",142 x 71.8 x 7.4 mm (5.59 x 2.83 x 0.29 in),150 g (5.29 oz),,Nano-SIM,"5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 5.1.1 (Lollipop), upgradаble to 6.0 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDXC (dedicated slot) - F620S,"16GB 1.5GB RAM (H650E), 16GB 2GB RAM (F620S)","13 MP, 1/3.0"", AF","LED flash, HDR, panorama",1080p@30fps,8 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP",No,"FM radio, RDS",microUSB 2.0,"Li-Ion 2050 mAh, non-removable",,"Gold, Silver, Blue, Black",About 190 EUR
LG Nexus 5X,,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all models,HSDPA 850 / 900 / 1700 / 1900 / 2100 - American model,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 29 - American model","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",147 x 72.6 x 7.9 mm (5.79 x 2.86 x 0.31 in),136 g (4.80 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame",Nano-SIM,"5.2 inches, 74.9 cm","1080 x 1920 pixels, 16:9 ratio (~423 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,No,"16GB 2GB RAM, 32GB 2GB RAM","12.3 MP, f/2.0, 26mm (wide), 1/2.3"", 1.55µm","Laser AF, Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps, 720p@120fps, HDR","5 MP, f/2.0, 1/4.0"", 1.4µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","4.2, A2DP",Yes,No,USB Type-C 2.0,"Li-Po 2700 mAh, non-removable",,"Carbon, Quartz, Ice",About 270 EUR
LG V10,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",159.6 x 79.3 x 8.6 mm (6.28 x 3.12 x 0.34 in),192 g (6.77 oz),"Glass front (Gorilla Glass 4), plastic back, stainless steel/plastic frame",Nano-SIM,"5.7 inches, 89.6 cm","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,microSDXC (dedicated slot),"32GB 4GB RAM, 64GB 4GB RAM","16 MP, f/1.8, 1/2.6"", OIS","Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@120fps, HDR, stereo sound rec.","5 MP, f/2.2,
5 MP",1080p,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, LE, aptX",Yes,FM radio,"microUSB 2.0 (SlimPort 4K), OTG","Li-Ion 3000 mAh, removable","18W wired, QC2, 50% in 40 min","Space Black, Luxe White, Modern Beige, Ocean Blue, Opal Blue",About 250 EUR
LG G Vista 2,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 - AT&T,"1, 2, 3, 4, 5, 7, 12, 29, 30 - AT&T","HSPA, LTE",154.4 x 79.8 x 9.7 mm (6.08 x 3.14 x 0.38 in),169.8 g (5.96 oz),,Micro-SIM,"5.7 inches, 89.6 cm","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, OIS","Laser AF, color spectrum sensor, LED flash, panorama, HDR",1080p@30fps,5 MP,,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi Direct, hotspot","4.1, A2DP, LE",Yes,No,microUSB 2.0,"Li-Ion 3000 mAh, removable",,Metallic Black,About 190 EUR
LG Ray,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,,HSPA 21.1/5.76 Mbps,152.5 x 76.4 x 9.3 mm (6.00 x 3.01 x 0.37 in),158 g (5.57 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6592M (28 nm),Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,microSDXC (dedicated slot),16GB 1GB RAM,"13 MP, AF",LED flash,1080p@30fps,8 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",No,No,microUSB 2.0,"Li-Ion 3000 mAh, removable",,"Silver, Gold, Titan Black",About 190 EUR
