Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Samsung S3030 Tobi,,GSM,GSM 900 / 1800 / 1900 ,,,,94.7 x 45.4 x 17.5 mm (3.73 x 1.79 x 0.69 in),85 g (3.00 oz),,Mini-SIM,"1.9 inches, 11.4 cm",176 x 220 pixels (~148 ppi density),,,,,microSDHC (dedicated slot),15MB,1.3 MP,,Yes,No,,Yes,No,WLANNo,"2.0, A2DP",,No,2.0,Removable Li-Ion 800 mAh battery,,"Sweet Pink, Loyal Blue, Apple Green, Bright Orange, Oasis Blue, Snow Silver",About 90 EUR
Samsung S9402 Ego,,GSM,GSM 900 / 1800 / 1900 - SIM 1,,,,115 x 48 x 16 mm (4.53 x 1.89 x 0.63 in),140 g (4.94 oz),,Dual SIM (Mini-SIM),"2.0 inches, 12.4 cm","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSDHC (dedicated slot),1GB,"5 MP, AF",LED flash,480p@15fps,No,,Yes,No,WLANNo,"2.0, A2DP",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion 960 mAh battery,,Black,About 690 EUR
Samsung W299 Duos,,GSM / CDMA,GSM 900 / 1800 / 1900 ,,,,113 x 49 x 15.9 mm (4.45 x 1.93 x 0.63 in),114 g (4.02 oz),,Dual SIM (Mini-SIM),"2.2 inches, 15.0 cm","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),38MB,2 MP,,Yes,No,,Yes,No,WLANNo,"2.0, A2DP",,"Stereo FM radio, RDS",2.0,Removable Li-Ion 1140 mAh battery,,Black,About 80 EUR
Samsung SCH-W699,,GSM / CDMA,GSM 900 / 1800 / 1900 ,,,,98 x 56 x 19.9 mm (3.86 x 2.20 x 0.78 in),120 g (4.23 oz),,Dual SIM (Mini-SIM),"2.8 inches, 24.3 cm","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,,,microSDHC (dedicated slot),,"5 MP, AF",LED flash,480p@15fps,No,,Yes,No,WLANNo,"2.0, A2DP",,"Stereo FM radio, RDS",2.0,Removable Li-Ion 1200 mAh battery,,Gold on black,About 80 EUR
Samsung W259 Duos,,GSM / CDMA,GSM 900 / 1800 ,,,,115.5 x 48 x 15.9 mm (4.55 x 1.89 x 0.63 in),120 g (4.23 oz),,Mini-SIM,"2.2 inches, 15.2 cm",176 x 220 pixels (~128 ppi density),,,,,"microSDHC (dedicated slot), 1 GB included",40MB,1.3 MP,,Yes,No,,Yes,No,WLANNo,2.1,,"FM radio, recording",2.0,Removable Li-Ion 1140 mAh battery,,Black,About 80 EUR
Samsung C5212,,GSM,GSM 900 / 1800 - SIM 1,,,,112.7 x 48.6 x 14.3 mm (4.44 x 1.91 x 0.56 in),98.7 g (3.46 oz),,Dual SIM (Mini-SIM),"2.2 inches, 15.2 cm",176 x 220 pixels (~128 ppi density),,,,,microSDHC (dedicated slot),60MB,1.3 MP,,QCIF@15fps,No,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS, recording",2.0,Removable Li-Ion 1000 mAh battery,,Black,About 90 EUR
Samsung B5702,,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,106 x 52.5 x 16.9 mm (4.17 x 2.07 x 0.67 in),120 g (4.23 oz),,Dual SIM (Mini-SIM),"2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSDHC (dedicated slot),50MB,"3.15 MP, AF",,480p@15fps,No,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS",2.0,Removable Li-Ion 1200 mAh battery,,Black,About 140 EUR
Samsung S3500,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,99.9 x 48 x 14.3 mm (3.93 x 1.89 x 0.56 in),95 g (4.41 oz),,Mini-SIM,"2.2 inches, 15.0 cm","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),40MB,2 MP,,320p@15fps,No,,Yes,No,WLANNo,"2.0, A2DP",,"FM radio, RDS",microUSB 2.0,Removable Li-Ion 800 mAh battery,,Silver,About 60 EUR
Samsung C5220,,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 850 ,,HSPA 3.6/0.384 Mbps,99 x 49.5 x 18.2 mm (3.90 x 1.95 x 0.72 in),100 g (3.53 oz),,Mini-SIM,"2.0 inches, 12.6 cm",176 x 220 pixels (~141 ppi density),,,,,microSD (dedicated slot),35MB,1.3 MP,,Yes,Yes,,Yes,No,WLANNo,Yes,,No,Proprietary,Removable Li-Ion 960 mAh battery,,"Grey, Red, Black",About 60 EUR
Samsung S7220 Ultra b,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,114 x 46.3 x 11.8 mm (4.49 x 1.82 x 0.46 in),90 g (3.17 oz),,Mini-SIM,"2.2 inches, 15.0 cm","320 x 240 pixels, 4:3 ratio (~182 ppi density)",,,,,microSD (dedicated slot),110MB,"5 MP, AF",LED flash,Yes,Yes,,Yes,No,WLANNo,"2.1, A2DP",,"Stereo FM radio, RDS",microUSB 2.0,Removable Li-Ion 960 mAh battery,,"Black, Pink",About 90 EUR
