Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Nothing Phone (1),"[{'128GB 8GB RAM': '$\u2009795.00'}, {'256GB 8GB RAM': '$\u2009490.00'}, {'256GB 12GB RAM': '$\u2009885.00'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66","HSPA, LTE, 5G",159.2 x 75.8 x 8.3 mm (6.27 x 2.98 x 0.33 in),193.5 g (6.84 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM + Nano-SIM,"6.55 inches, 103.6 cm","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Android 12, upgradable to Android 15, up to 3 major Android upgrades, Nothing OS 3.0",Qualcomm SM7325-AE Snapdragon 778G+ 5G (6 nm),Octa-core (1x2.5 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
50 MP, f/2.2, 114˚ (ultrawide), 1/2.76"", 0.64µm, AF","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, live HDR","16 MP, f/2.5, (wide), 1/3.1"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",Li-Ion 4500 mAh (17.42 Wh),"33W wired, PD3.0, QC4, 50% in 30 min, 100% in 70 min","White, Black",
Nothing Phone (2),"[{'256GB 12GB RAM': '$\u2009719.99'}, {'512GB 12GB RAM': '$\u2009749.99'}, {'128GB 8GB RAM': '₹\u200932,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 30, 32, 34, 38, 39, 40, 41, 42, 48, 66, 71","HSPA, LTE, 5G",162.1 x 76.4 x 8.6 mm (6.38 x 3.01 x 0.34 in),201.2 g (7.09 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 13, upgradable to Android 15, up to 3 major Android upgrades, Nothing OS 3.0",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
50 MP, f/2.2, 114˚ (ultrawide), 1/2.76"", 0.64µm, AF","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS, live HDR, OIS","32 MP, f/2.5, (wide), 1/2.74"", 0.8µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive",Yes,No,"USB Type-C 2.0, OTG",Li-Ion 4700 mAh,"45W wired, PD3.0, PPS, QC4, 100% in 55 min","White, Dark Gray",
Nothing Phone (2a),"[{'128GB 8GB RAM': '$\u2009329.50'}, {'256GB 12GB RAM': '$\u2009412.00'}, {'256GB 8GB RAM': '₹\u200923,725'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 66","HSPA, LTE (CA), 5G",161.7 x 76.3 x 8.6 mm (6.37 x 3.00 x 0.34 in),190 g (6.70 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, upgradable to Android 15, up to 3 major Android upgrades, Nothing OS 3.0",Mediatek Dimensity 7200 Pro (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x 2.0 Cortex-A510),Mali-G610 MC4,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
50 MP, f/2.2, 114˚ (ultrawide), 1/2.76"", 0.64µm","LED flash, panorama, HDR","4K@30fps, 1080p@60/120fps, gyro-EIS","32 MP, f/2.2, (wide), 1/2.74"", 0.8µm",1080p@60fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, 360˚",No,"USB Type-C 2.0, OTG",5000 mAh,"45W wired, 50% in 23 min, 100% in 1 hour","Black, White, Milk, Blue",
Nothing CMF Phone 1,"[{'256GB 8GB RAM': '$\u2009260.10'}, {'128GB 8GB RAM': '£\u2009172.72'}, {'128GB 6GB RAM': '₹\u200913,838'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66","HSPA, LTE, 5G",164 x 77 x 8.2 mm (6.46 x 3.03 x 0.32 in),197 g or 202 g (6.95 oz),"Glass front, plastic back or silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,"6.67 inches, 107.4 cm","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 14, upgradable to Android 15, up to 2 major Android upgrades, Nothing OS 3.0",Mediatek Dimensity 7300 (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","16 MP, f/2.0, (wide)",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, BLE",No,No,USB Type-C,5000 mAh,33W wired,"Black, Orange, Light Green",
Nothing Phone (2a) Plus,"[{'256GB 12GB RAM': '£\u2009371.99'}, {'256GB 8GB RAM': '₹\u200922,775'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 66","HSPA, LTE (CA), 5G",161.7 x 76.3 x 8.5 mm (6.37 x 3.00 x 0.33 in),190 g (6.70 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.7 inches, 107.5 cm","1080 x 2412 pixels, 20:9 ratio (~395 ppi density)","Android 14, up to 3 major Android upgrades, Nothing OS 3.0",Mediatek Dimensity 7350 Pro (4 nm),Octa-core (2x3.0 GHz Cortex-A715 & 6x 2.0 GHz Cortex-A510),Mali-G610 MC4,No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS,
50 MP, f/2.2, 114˚ (ultrawide), 1/2.76"", 0.64µm","LED flash, panorama, HDR","4K@30fps, 1080p@60/120fps, gyro-EIS","50 MP, f/2.2, (wide), 1/2.76""",4K@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, 360˚",No,"USB Type-C 2.0, OTG",5000 mAh,"50W wired, 50% in 21 min, 100% in 56 min","Black, Grey",
Nothing Phone (3a),"[{'128GB 8GB RAM': '$\u2009629.00'}, {'256GB 12GB RAM': '$\u2009579.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 40, 41, 42, 48, 66","HSPA, LTE, 5G",163.5 x 77.5 x 8.4 mm (6.44 x 3.05 x 0.33 in),201 g (7.09 oz),,Nano-SIM + Nano-SIM,"6.77 inches, 111.5 cm",1080 x 2392 pixels (~387 ppi density),"Android 15, up to 3 major Android upgrades, Nothing OS 3.1",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 710 (940 MHz),No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS,
50 MP, f/2.0, 50mm (telephoto), 1/2.74"", 0.64µm, PDAF (25cm - ∞), 2x optical zoom,
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, HDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","32 MP, f/2.2, 22mm (wide), 1/3.44""",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",5000 mAh,"50W wired, 50% in 19 min, 100% in 56 min","Black, White, Blue",
Nothing Phone (3a) Pro,"[{'256GB 12GB RAM': '£\u2009449.00'}, {'256GB 8GB RAM': '₹\u200932,898'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 40, 41, 42, 48, 66","HSPA, LTE, 5G",163.5 x 77.5 x 8.4 mm (6.44 x 3.05 x 0.33 in),211 g (7.44 oz),,Nano-SIM + Nano-SIM + ,"6.77 inches, 111.5 cm",1080 x 2392 pixels (~387 ppi density),"Android 15, up to 3 major Android upgrades, Nothing OS 3.1",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 710 (940 MHz),No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS,
50 MP, f/2.6, 70mm (periscope telephoto) (15cm - ∞), 1/1.95"", 0.8µm, PDAF, OIS, 3x optical zoom,
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, HDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","50 MP, f/2.2, 24mm (wide), 1/2.76""","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",5000 mAh,"50W wired, 50% in 19 min, 100% in 56 min","Black, Gray",
