Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
HTC Desire 300,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - all versions,"HSDPA 900 / 2100 - EU, Asia, China",,HSPA 7.2/5.76 Mbps,131.8 x 66.2 x 10.1 mm (5.19 x 2.61 x 0.40 in),120 g (4.23 oz),,Micro-SIM,"4.3 inches, 52.6 cm","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 4.1.2 (Jelly Bean), Sense UI 5",Qualcomm MSM8225 Snapdragon S4 Play,Dual-core 1.0 GHz Cortex-A5,Adreno 203,microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, AF",,w480p@30fps,VGA,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, aptX",No,FM radio,microUSB 2.0,"Li-Ion 1650 mAh, removable",,"Black, White",About 160 EUR
HTC One Max,,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 - EMEA,"3, 7, 8, 20 - EMEA","HSPA, LTE Cat3 100/50 Mbps",164.5 x 82.5 x 10.3 mm (6.48 x 3.25 x 0.41 in),217 g (7.65 oz),,Micro-SIM,"5.9 inches, 96.0 cm","1080 x 1920 pixels, 16:9 ratio (~373 ppi density)","Android 4.3 (Jelly Bean), upgradable to 5.0 (Lollipop), Sense UI 5.5",Qualcomm APQ8064 Snapdragon 600,Quad-core 1.7 GHz Krait 300,Adreno 320,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","4 MP, 1/3.0"", 2µm, AF",LED flash,"1080p@30fps, 720p@60fps, HDR, stereo sound rec.",2.1 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, aptX",Yes,"Stereo FM radio, RDS",microUSB 2.0 (MHL TV-out),"Li-Po 3300 mAh, non-removable",,"Silver, Black, Gold",About 370 EUR
HTC Desire 501,,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 14.4/5.76 Mbps,128.5 x 66.7 x 9.8 mm (5.06 x 2.63 x 0.39 in),130 g (4.59 oz),,Micro-SIM,"4.3 inches, 52.6 cm","480 x 800 pixels, 5:3 ratio (~217 ppi density)",Android OS,,Dual-core 1.2 GHz,,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, AF",LED flash,Yes,2.1 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA","4.0, A2DP, aptX",Yes,FM radio,microUSB 2.0,"Li-Ion 2100 mAh, removable",,"Black, White, Pink",About 240 EUR
HTC Desire 601 dual sim,,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,134.5 x 66.7 x 9.9 mm (5.30 x 2.63 x 0.39 in),130 g (4.59 oz),,"Dual SIM (Micro-SIM, dual stand-by)","4.5 inches, 55.8 cm","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.2.2 (Jelly Bean),,Quad-core 1.2 GHz Cortex-A7,Broadcom VideoCore IV,microSDXC (dedicated slot),4GB 1GB RAM,"5 MP, 1/4.0"", 1.4µm, AF",LED flash,1080p@30fps,VGA,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot, DLNA","4.0, A2DP, aptX",No,FM radio,microUSB 2.0,"Li-Po 2100 mAh, removable",,"Black, Red, White",About 270 EUR
HTC Desire 700 dual sim,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1,HSDPA 850 / 900 / 2100 ,,HSPA 14.4/5.76 Mbps,145.5 x 72 x 10.3 mm (5.73 x 2.83 x 0.41 in),149 g (5.26 oz),,"Dual SIM, (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm","540 x 960 pixels, 16:9 ratio (~220 ppi density)","Android 4.1.2 (Jelly Bean), Sense UI 5",Spreadtrum Shark,Quad-core 1.2 GHz Cortex-A7,Mali-400,microSDXC (dedicated slot),8GB 1GB RAM,"8 MP, 1/3.2"", AF","LED flash, HDR","1080p@22fps, HDR",2.1 MP,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, aptX",No,FM radio,"microUSB 2.0, OTG","Li-Po 2100 mAh, removable",,Black,About 250 EUR
HTC Desire 700,,GSM / CDMA / HSPA,CDMA 800  / GSM - SIM 1,HSDPA 900 / 2100 - SIM 1,,"HSPA 14.4/5.76 Mbps, EV-DO Rev. B",145.5 x 72 x 10.3 mm (5.73 x 2.83 x 0.41 in),149 g (5.26 oz),,"Dual SIM, (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm","540 x 960 pixels, 16:9 ratio (~220 ppi density)","Android 4.1.2 (Jelly Bean), Sense UI 5",Spreadtrum Shark,Quad-core 1.2 GHz Cortex-A7,Mali-400,microSDXC (dedicated slot),8GB 1GB RAM,"8 MP, 1/3.2"", AF","LED flash, HDR","1080p, HDR",2.1 MP,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, aptX",No,FM radio,"microUSB 2.0, OTG","Li-Po 2100 mAh, removable",,Black,About 220 EUR
HTC Desire 501 dual sim,,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 14.4/5.76 Mbps,128.5 x 66.7 x 9.8 mm (5.06 x 2.63 x 0.39 in),130 g (4.59 oz),,"Dual SIM (Micro-SIM, dual stand-by)","4.3 inches, 52.6 cm","480 x 800 pixels, 5:3 ratio (~217 ppi density)","Android 4.1 (Jelly Bean), Sense UI 4+",NovaThor U8500,Dual-core 1.2 GHz Cortex-A9,Mali-400,microSDXC (dedicated slot),8GB 1GB RAM,"8 MP, AF","LED flash, HDR",720p,2.1 MP,,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA","4.0, A2DP, aptX",Yes,FM radio,microUSB 2.0,"Li-Ion 2100 mAh, removable",,"Black, White, Pink",About 190 EUR
HTC Desire 610,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all versions,"HSDPA 850 / 900 / 2100 - EU, EMEA","3, 7, 8, 20 - EU, EMEA","HSPA, LTE",143.1 x 70.5 x 9.6 mm (5.63 x 2.78 x 0.38 in),143.5 g (5.04 oz),,Nano-SIM,"4.7 inches, 60.9 cm","540 x 960 pixels, 16:9 ratio (~234 ppi density)","Android 4.4.2 (KitKat), Sense UI 5.5",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1GB RAM,"8 MP, AF","LED flash, HDR",1080p@30fps,1.3 MP,720p,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, aptX",Yes (market/operator dependent),FM radio,microUSB 2.0,"Li-Po 2040 mAh, non-removable",,"Black, White, Red, Gray, Green",About 200 EUR
HTC Desire 816,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"3, 7, 8, 20 - EMEA version","HSPA, LTE",156.6 x 78.7 x 7.9 mm (6.17 x 3.10 x 0.31 in),165 g (5.82 oz),,Nano-SIM,"5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 4.4.2 (KitKat), upgradable to 6 (Marshmallow), Sense UI 6",Qualcomm MSM8928 Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1.5GB RAM,"13 MP, f/2.2, 28mm (wide), AF","LED flash, HDR","1080p@30fps, 720p@60fps","5 MP, f/2.8",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, aptX",Yes (optional),FM radio,microUSB 2.0,"Li-Po 2600 mAh, non-removable",,"Black, White, Red, Gray, Green",About 250 EUR
HTC Desire 816 dual sim,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 ,,HSPA 14.4/5.76 Mbps,156.6 x 78.7 x 7.9 mm (6.17 x 3.10 x 0.31 in),165 g (5.82 oz),,Nano-SIM + Nano-SIM,"5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 4.4.2 (KitKat), upgradable to 6 (Marshmallow), Sense UI 7",Qualcomm Snapdragon 400 (28 nm),Quad-core 1.6 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),8GB 1.5GB RAM,"13 MP, AF","LED flash, HDR","1080p@30fps, 720p@60fps",5 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, aptX",No,FM radio,microUSB 2.0,"Li-Po 2600 mAh, non-removable",,"Black, White",About 250 EUR
