Price_In_Dollars
216.0
734.4
410.4
54.0
118.8
356.4
291.6
118.8
142.04
194.4
270.0
172.8
172.8
97.2
108.0
129.6
345.59
137.99
108.0
172.8
179.99
108.0
345.6
162.0
475.2
432.0
237.6
259.2
137.88
108.0
475.0
355.32
302.4
118.8
129.6
216.0
189.99
356.4
118.8
248.4
159.48
162.0
149.45
421.2
518.4
159.0
464.4
518.4
118.8
129.6
381.75
97.2
324.0
823.75
625.0
259.2
194.4
135.42
399.6
109.99
629.0
118.8
118.8
550.8
184.06
194.4
453.6
291.6
194.4
84.44
237.6
280.8
143.4
237.6
151.2
205.2
323.98
313.2
594.0
280.8
162.0
939.6
118.8
205.2
162.0
356.4
432.0
599.99
108.0
723.6
194.4
248.4
378.0
270.0
410.0
313.2
118.8
324.0
367.2
140.4
129.99
162.0
254.74
216.0
199.99
86.4
529.2
329.99
216.0
302.4
248.4
151.2
356.4
984.9
205.2
356.4
959.0
259.2
637.2
648.0
864.0
162.0
216.0
151.2
129.6
171.72
118.8
444.07
95.97
237.6
172.8
162.0
108.0
255.0
118.8
302.4
1836.0
270.0
129.6
140.4
378.0
194.4
610.22
296.64
237.6
86.4
183.6
245.78
686.25
198.36
594.0
625.0
345.6
302.86
259.2
295.0
118.8
324.0
216.0
356.4
194.4
118.8
86.4
86.4
509.59
108.0
388.8
259.2
280.8
172.8
183.6
356.4
216.0
369.95
324.0
205.2
270.0
183.6
394.78
280.8
118.8
270.0
561.6
540.0
719.0
75.6
151.2
226.8
140.4
464.4
237.6
139.73
162.0
205.2
486.0
108.0
388.8
421.2
324.0
237.6
928.8
108.0
226.8
239.99
140.78
216.0
75.6
594.0
518.4
64.8
352.29
329.99
594.0
118.8
205.2
248.4
216.0
216.0
149.99
183.6
129.6
172.8
1620.0
216.0
140.4
259.2
259.2
183.6
379.95
194.4
432.0
97.2
1167.12
129.6
302.4
529.2
129.6
108.0
162.0
324.0
162.0
97.2
324.0
205.2
129.6
313.2
237.6
442.8
118.8
302.4
75.6
162.0
172.8
324.0
125.99
248.4
226.8
75.6
347.98
313.2
324.0
313.2
162.0
448.11
237.6
139.99
488.95
378.0
518.4
270.0
300.1
690.0
129.6
83.88
399.6
314.99
313.2
540.0
97.2
160.0
430.92
259.2
226.8
183.6
519.99
205.2
280.8
270.0
162.0
108.0
172.8
324.0
151.2
149.93
64.8
270.0
270.0
108.0
172.8
496.8
659.0
222.9
475.2
302.4
183.6
248.4
183.6
183.6
102.0
172.8
194.4
356.4
237.6
486.0
345.6
75.6
259.2
183.0
54.0
599.0
410.4
356.4
388.8
270.0
254.29
648.0
270.0
248.4
162.0
406.68
334.8
719.0
399.6
432.0
670.0
98.5
313.2
129.6
140.4
172.8
1036.8
237.6
108.0
291.6
216.0
135.59
172.8
108.0
345.6
270.0
216.0
108.0
273.3
129.6
172.8
151.2
165.88
194.4
118.8
126.19
183.6
159.99
140.4
356.4
194.4
195.0
280.8
324.0
129.6
248.4
162.0
545.0
216.0
183.6
518.4
421.2
172.8
237.6
43.2
378.0
434.0
140.4
324.0
389.0
52.8
302.4
286.84
129.6
378.0
287.99
334.8
140.4
162.0
129.6
184.99
464.4
453.6
473.73
388.8
172.8
102.14
388.8
259.2
1080.0
445.0
108.0
1469.8
162.0
125.98
594.0
432.0
194.4
217.18
216.0
432.0
356.4
1039.0
84.0
172.8
280.8
108.0
248.4
136.93
183.6
1060.46
810.0
209.0
226.8
486.0
561.6
54.0
97.2
162.0
172.8
75.6
759.0
77.98
172.8
928.79
486.0
623.75
248.4
939.0
432.0
247.55
432.0
216.0
864.0
226.79
172.8
442.8
237.6
113.99
259.2
270.0
378.0
129.6
125.99
151.2
324.0
453.6
162.0
464.4
334.8
159.99
119.88
162.0
280.8
108.0
140.4
181.8
367.2
228.0
140.4
410.4
1769.0
108.0
270.0
103.47
162.0
140.4
367.2
179.88
86.4
333.72
356.4
129.6
432.0
1199.97
332.76
139.99
299.0
162.0
432.0
486.0
129.6
899.97
108.0
399.0
108.0
442.8
429.0
216.0
270.0
2484.0
240.0
259.2
194.4
529.99
104.0
280.8
312.41
302.4
99.0
162.0
226.8
540.0
315.0
194.4
367.2
689.99
140.4
719.9
86.4
378.0
140.4
86.4
108.0
248.4
1080.0
129.6
216.0
494.99
151.2
216.0
129.6
237.6
216.0
75.6
248.4
429.31
896.4
162.0
291.6
183.6
302.4
324.0
425.0
432.0
302.4
496.8
518.4
119.99
302.4
395.99
226.8
529.0
162.0
194.4
870.0
329.99
183.6
378.0
140.4
97.2
151.2
86.4
486.0
106.92
367.2
108.0
699.99
64.8
247.45
194.4
140.4
410.0
259.2
