Sound_3.5mmjack,Brand,has_LTE,has_5G,has_CDMA,has_CDMA2000,has_EVDO,number_of_sims,number_of_2g_bands,aws_support,number_of_3g_bands,is_foldable_phone,thickness,has_Nano_SIM,has_Micro_SIM,has_Mini_SIM,has_eSIM,has_SIM_Type_Specified,has_memory_card,memory_type_microSDXC,memory_type_microSDHC,Battery_Is_removable,Battery_Capacity,Battery_Type_Lithium,Sound_has_stereo_speakers,camera_hdr,camera_panorama,GPU_company,Number_of_cores,CPU_Brand,CPU_Transistor_Size,Is_OS_Upgradable,Resolution_Width,Resolution_Height,PPI,Display_Size,has_8k,has_4k,has_1440p,has_1080p,has_720p,has_480p,has_EIS,has_HDR,has_stereo,has_dolby_vision,has_OIS,max_resolution,ram,Total_Pixels,number_of_camera_features,maincamera_mp,selfiecamera_mp,latest_wifi_version,Bluetooth_version,has_nfc,USB_Type,operating_system
No,vivo,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,7.8,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,395,6.67,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2592000.0,0.0,Ultra,High,2,5,0.0,Type-C,Android
Yes,Asus,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,False,8.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4000.0,Lithium Polymer,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,> 20nm,False,Low,High,398,6.26,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2425680.0,1.0,Medium,Low,2,Less than 4,0.0,Type-B,Android
Yes,Sony,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,10.8,0.0,1.0,0.0,0.0,1.0,True,False,True,Non-Removable,2300.0,Lithium Ion,No,1.0,1.0,ARM,Low_Core,mediatek,> 20nm,False,Low,Low,234,4.7,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,518400.0,3.0,Low,Low,1,Less than 4,1.0,Type-B,Android
Yes,Realme,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.5,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3500.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,True,Low,High,409,6.3,0,1,0,1,1,0,0,0,0,0,0,4k,<= 4,2527200.0,1.0,Medium,Medium,2,5,0.0,Type-B,Android
Yes,LG,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.9,0.0,1.0,0.0,0.0,1.0,True,False,True,Removable,1900.0,Lithium Ion,No,0.0,0.0,ARM,Low_Core,mediatek,> 20nm,False,Low,Low,196,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,409920.0,0.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Google,1.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,False,8.8,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,4680.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,True,Low,High,415,6.34,0,1,0,1,0,0,1,0,0,0,0,4k,6 - 8,2592000.0,4.0,Medium,Low,2,5,1.0,Type-C,Android
Yes,Lenovo,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,False,7.7,0.0,1.0,0.0,0.0,1.0,False,False,False,Non-Removable,4000.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Medium,High,490,6.0,0,1,0,1,0,0,0,0,0,0,0,4k,<= 4,3686400.0,3.0,Medium,Low,2,Less than 4,1.0,Type-B,Android
No,vivo,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,6.0,False,7.6,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5500.0,Lithium Ion,Yes,1.0,0.0,Other,Mid_Core,mediatek,Less than 5nm,False,Low,High,453,6.78,0,1,0,1,0,0,1,0,0,0,1,4k,6 - 8,3528000.0,2.0,Ultra,Ultra,5,5,1.0,Type-C,Android
No,Apple,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,False,7.8,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,3279.0,Lithium Ion,Yes,1.0,1.0,Apple,Mid_Core,apple,5nm - 10nm,True,Low,High,460,6.1,0,1,0,1,0,0,0,1,1,1,0,4k,6 - 8,2962440.0,3.0,Medium,Medium,3,5,1.0,Lightning,IOS
Yes,Huawei,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,False,7.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3340.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,kirin,10nm - 20nm,True,Low,High,415,6.15,0,0,0,1,0,0,1,0,0,0,0,1080p,6 - 8,2496960.0,3.0,High,High,2,Less than 4,1.0,Type-C,Android
Yes,Samsung,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,7.9,0.0,1.0,0.0,0.0,1.0,True,True,False,Removable,2600.0,Lithium Ion,No,0.0,0.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Low,Medium,294,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,0.0,Medium,Low,1,Less than 4,1.0,Type-B,Android
Yes,Xiaomi,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,False,8.8,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,mediatek,10nm - 20nm,False,Low,Medium,268,6.71,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1188000.0,0.0,Ultra,Low,2,5,1.0,Type-B,Android
Yes,Oppo,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,6.3,1.0,1.0,0.0,0.0,1.0,True,True,False,Non-Removable,2320.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,> 20nm,False,Low,Medium,445,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,4.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,HTC,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,False,9.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,2040.0,Lithium Polymer,Yes,0.0,0.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Low,234,4.7,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,518400.0,0.0,Low,Low,1,Less than 4,0.0,Type-B,Android
No,Sharp,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,9.3,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,True,Medium,High,513,6.7,0,0,0,1,0,0,1,1,0,1,0,1080p,8-16,4492800.0,1.0,Ultra,Ultra,5,5,1.0,Type-C,Android
Yes,Realme,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,7.6,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,No,1.0,0.0,ARM,Mid_Core,mediatek,10nm - 20nm,False,Low,Medium,264,6.67,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,1154880.0,2.0,Ultra,Low,2,5,1.0,Type-C,Android
Yes,Xiaomi,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,9.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,1.0,1.0,Imagination,Mid_Core,mediatek,10nm - 20nm,False,Low,Medium,269,6.53,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,3.0,Medium,Low,1,5,0.0,Type-B,Android
No,Huawei,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,False,6.9,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4500.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,395,6.7,0,1,0,1,0,0,1,0,0,0,0,4k,6 - 8,2614608.0,3.0,Ultra,Ultra,3,5,1.0,Type-C,Harmony
Yes,Honor,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,9.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,1.0,1.0,Imagination,Mid_Core,mediatek,10nm - 20nm,False,Low,Medium,278,6.3,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,3.0,Medium,Low,1,5,1.0,Type-B,Android
Yes,vivo,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.4,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,No,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,Medium,269,6.56,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1160640.0,0.0,Ultra,Low,2,5,0.0,Type-C,Android
No,Motorola,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,5.0,False,8.4,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4610.0,Lithium Polymer,Yes,0.0,0.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,393,6.7,1,1,0,1,0,0,1,0,0,0,0,8k,6 - 8,2592000.0,0.0,Ultra,Ultra,4,5,1.0,Type-C,Android
Yes,Huawei,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,6.8,1.0,1.0,0.0,0.0,1.0,True,True,False,Non-Removable,4360.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,kirin,> 20nm,True,Low,Medium,326,6.8,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,3.0,Medium,Low,2,Less than 4,0.0,Type-B,Android
Yes,vivo,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,False,7.9,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3260.0,Lithium Ion,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,High,403,6.26,0,1,0,1,0,0,0,0,0,0,0,4k,<= 4,2462400.0,4.0,Medium,Medium,2,5,0.0,Type-B,Android
No,Realme,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.2,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5200.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,394,6.7,0,1,0,1,0,0,1,0,0,0,1,4k,6 - 8,2604960.0,3.0,Ultra,High,3,5,0.0,Type-C,Android
Yes,alcatel,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,8.5,0.0,1.0,0.0,0.0,1.0,True,False,True,Non-Removable,2000.0,Lithium Ion,No,0.0,1.0,Imagination,Low_Core,mediatek,> 20nm,True,Low,Low,245,4.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,518400.0,2.0,Low,Low,1,Less than 4,1.0,Type-B,Android
No,Honor,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,7.9,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5100.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,True,Low,High,395,6.67,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2592000.0,3.0,Ultra,Medium,2,5,1.0,Type-C,Android
Yes,Lenovo,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,7.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,2410.0,Lithium Polymer,No,0.0,1.0,Qualcomm,Mid_Core,qualcomm,> 20nm,False,Low,Medium,416,5.3,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,2.0,Medium,Medium,2,Less than 4,0.0,Type-B,Android
No,Realme,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,6.0,False,8.2,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Ion,Yes,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,True,Low,High,394,6.7,0,1,0,1,0,0,1,0,0,0,0,4k,8-16,2604960.0,4.0,Ultra,Medium,3,5,1.0,Type-C,Android
Yes,Micromax,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,9.069014084507044,0.0,1.0,0.0,0.0,1.0,True,True,False,Non-Removable,3000.0,Lithium Ion,No,0.0,0.0,ARM,Low_Core,mediatek,> 20nm,False,Low,Medium,282,5.7,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1036800.0,0.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Motorola,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,False,9.2,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3500.0,Lithium Polymer,No,0.0,0.0,ARM,Mid_Core,exynos,10nm - 20nm,True,Low,High,432,6.3,0,1,0,1,0,0,1,0,0,0,0,4k,<= 4,2721600.0,0.0,Medium,Medium,2,5,1.0,Type-C,Android
Yes,Samsung,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4500.0,Lithium Polymer,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,400,6.6,0,1,0,1,0,0,0,0,0,0,0,4k,6 - 8,2600640.0,1.0,Ultra,Medium,2,5,0.0,Type-C,Android
Yes,ZTE,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,False,11.4,0.0,1.0,0.0,0.0,1.0,True,False,True,Removable,1650.0,Lithium Ion,No,0.0,0.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Low,233,4.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,384000.0,0.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Huawei,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,False,9.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,0.0,0.0,ARM,Mid_Core,kirin,10nm - 20nm,False,Low,High,395,6.67,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2592000.0,1.0,High,Low,1,5,0.0,Type-C,Android
Yes,Xiaomi,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,False,8.1,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,395,6.67,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2592000.0,0.0,Ultra,Medium,2,5,1.0,Type-C,Android
Yes,Honor,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4000.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,Medium,269,6.26,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1094400.0,3.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
No,Samsung,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,True,6.3,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,4400.0,Lithium Polymer,Yes,0.0,0.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,True,Medium,High,373,7.6,1,1,0,1,1,0,1,1,0,0,0,8k,8-16,3942912.0,0.0,Ultra,Low,4,5,1.0,Type-C,Android
No,Xiaomi,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,6.0,False,8.4,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,4820.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,True,Medium,High,522,6.73,1,1,0,1,0,0,1,1,0,1,0,8k,6 - 8,4608000.0,3.0,Ultra,High,4,5,1.0,Type-C,Android
No,Honor,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,6.8,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4500.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,High,394,6.7,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2604960.0,3.0,Ultra,Ultra,2,5,1.0,Type-C,Android
Yes,Nokia,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,10.7,0.0,1.0,0.0,0.0,1.0,False,False,False,Non-Removable,2000.0,Lithium Ion,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Low,Medium,332,4.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,983040.0,3.0,Low,Low,1,Less than 4,1.0,Type-B,Others
No,Xiaomi,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,4.0,False,8.7,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4000.0,Lithium Ion,Yes,1.0,0.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,False,Low,High,402,6.01,0,1,0,1,1,0,0,0,0,0,0,4k,6 - 8,2332800.0,2.0,Medium,High,2,5,0.0,Type-C,Android
No,Oppo,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,6.0,False,8.7,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Polymer,Yes,1.0,1.0,Other,Mid_Core,mediatek,Less than 5nm,False,Low,High,450,6.78,0,1,0,1,0,0,1,1,0,1,0,4k,8-16,3513920.0,3.0,Ultra,High,5,5,1.0,Type-C,Android
Yes,Nokia,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,9.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Removable,2500.0,Lithium Ion,No,1.0,1.0,ARM,Low_Core,unisoc,> 20nm,False,Low,Medium,295,5.45,0,0,0,0,1,0,0,0,0,0,0,720p,<= 4,1036800.0,4.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,vivo,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.5,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,No,1.0,1.0,Imagination,Mid_Core,mediatek,10nm - 20nm,False,Low,Medium,270,6.51,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,3.0,Low,Low,2,5,0.0,Type-B,Android
Yes,Motorola,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,No,0.0,0.0,ARM,Mid_Core,mediatek,10nm - 20nm,False,Low,High,411,6.4,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2592000.0,0.0,High,Medium,2,5,1.0,Type-C,Android
Yes,HTC,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,False,11.3,0.0,0.0,1.0,0.0,1.0,True,False,True,Removable,1620.0,Lithium Ion,No,1.0,1.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Low,245,4.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,518400.0,3.0,Low,Low,1,Less than 4,1.0,Type-B,Android
Yes,alcatel,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,False,10.0,1.0,0.0,0.0,0.0,1.0,True,False,True,Non-Removable,2000.0,Lithium Ion,No,1.0,1.0,Imagination,Low_Core,others,> 20nm,False,Low,Low,215,5.0,0,0,0,0,1,0,0,0,0,0,0,720p,<= 4,460800.0,4.0,Low,Low,1,Less than 4,0.0,Type-B,Android
No,Realme,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.0,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,6000.0,Lithium Ion,Yes,1.0,0.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,True,Low,High,450,6.83,0,1,0,1,0,0,1,0,0,0,1,4k,8-16,3561600.0,2.0,Ultra,High,3,5,1.0,Type-C,Android
Yes,Samsung,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.8,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Ion,No,1.0,1.0,ARM,Mid_Core,mediatek,10nm - 20nm,True,Low,Medium,262,6.7,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1152000.0,3.0,Ultra,Low,2,5,0.0,Type-C,Android
Yes,vivo,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.1,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Ion,No,1.0,1.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,Medium,269,6.56,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1160640.0,3.0,Medium,Low,2,5,0.0,Type-C,Android
No,Samsung,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,False,7.6,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,4000.0,Lithium Ion,Yes,1.0,0.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,True,Low,High,416,6.2,1,1,0,1,0,0,1,1,1,0,0,8k,6 - 8,2527200.0,2.0,Ultra,Medium,4,5,1.0,Type-C,Android
Yes,Lenovo,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,8.5,0.0,1.0,0.0,0.0,1.0,False,False,False,Non-Removable,4000.0,Lithium Polymer,No,0.0,1.0,Imagination,Low_Core,intel,> 20nm,False,Low,Medium,401,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,2.0,Medium,Low,2,Less than 4,0.0,Type-B,Android
No,Xiaomi,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,False,8.1,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,6000.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Medium,High,526,6.67,1,1,0,1,1,0,1,0,0,0,0,8k,8-16,4608000.0,0.0,Ultra,High,5,5,1.0,Type-C,Android
Yes,ZTE,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,9.9,0.0,0.0,1.0,0.0,1.0,True,False,True,Removable,1600.0,Lithium Ion,No,0.0,0.0,NVIDIA,Low_Core,others,> 20nm,True,Low,Low,256,4.3,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,518400.0,1.0,Low,Low,1,Less than 4,0.0,Type-B,Android
No,OnePlus,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,6.0,False,8.0,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,6000.0,Lithium Ion,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,True,Low,High,450,6.78,0,1,0,1,0,0,1,0,0,0,1,4k,8-16,3513920.0,3.0,Ultra,Medium,5,5,1.0,Type-C,Android
Yes,Asus,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,12.0,0.0,1.0,0.0,0.0,1.0,True,True,False,Non-Removable,3000.0,Lithium Polymer,No,0.0,0.0,Imagination,Low_Core,intel,> 20nm,False,Low,Medium,403,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,1.0,Medium,Low,2,Less than 4,0.0,Type-B,Android
Yes,OnePlus,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,Yes,0.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,False,Low,High,391,6.72,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,2592000.0,2.0,Ultra,Medium,2,5,1.0,Type-C,Android
No,vivo,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,5.0,False,7.4,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4600.0,Lithium Ion,Yes,0.0,0.0,ARM,Mid_Core,mediatek,Less than 5nm,False,Low,High,388,6.78,0,1,0,1,0,0,0,0,0,0,0,4k,6 - 8,2592000.0,1.0,Ultra,Ultra,3,5,1.0,Type-C,Android
Yes,Huawei,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,7.9,0.0,0.0,0.0,0.0,0.0,True,True,False,Non-Removable,4100.0,Lithium Polymer,No,1.0,1.0,ARM,Mid_Core,mediatek,> 20nm,False,Low,Medium,293,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,921600.0,6.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,ZTE,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,False,10.0,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,5000.0,Lithium Polymer,Yes,0.0,1.0,Qualcomm,Mid_Core,qualcomm,Less than 5nm,False,Low,High,387,6.8,1,1,0,1,0,0,0,0,0,0,0,8k,6 - 8,2592000.0,2.0,Ultra,Medium,4,5,1.0,Type-C,Android
Yes,Xiaomi,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,True,Low,High,409,6.43,0,1,0,1,0,0,0,0,0,0,0,4k,<= 4,2592000.0,0.0,High,Medium,2,5,0.0,Type-C,Android
Yes,Motorola,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.3,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,3000.0,Lithium Polymer,No,0.0,0.0,Imagination,Low_Core,mediatek,> 20nm,False,Low,Medium,295,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1036800.0,1.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
No,Huawei,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,7.8,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,4000.0,Lithium Polymer,Yes,0.0,0.0,ARM,Mid_Core,kirin,10nm - 20nm,True,Low,High,408,6.1,0,1,0,1,1,0,1,0,0,0,0,4k,6 - 8,2419200.0,0.0,High,High,2,Less than 4,1.0,Type-C,Android
Yes,Samsung,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,6.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,2600.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,> 20nm,True,Low,Medium,424,5.2,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,0.0,Medium,Low,1,Less than 4,1.0,Type-B,Android
